participantID, age, gender, education, IUIPC, ownership, data, device, recipient, likert
1760, 34, Male, Graduate, 54, No, " where you live somehow (looking at your map settings or history or observing documents and commutes) ", cubetastic3000, work, 3 
1760, 34, Male, Graduate, 54, No, " your username for websites ", cubetastic3000, appserver, 4 
1760, 34, Male, Graduate, 54, No, " your username and password for websites ", cubetastic3000, public, 5 
1760, 34, Male, Graduate, 54, No, " your bank account information ", cubetastic3000, appserver, 5 
2087, 34, Female, Graduate, 63, Yes, "connected to a bluetooth device", smartphone, noone, 2 
2087, 34, Female, Graduate, 63, Yes, "took screenshots while using other apps", smartphone, noone, 2 
2087, 34, Female, Graduate, 63, Yes, " an incriminating photo of you doing something embarrassing ", cubetastic3000, work, 5 
2087, 34, Female, Graduate, 63, Yes, " videos at work (with an outward-facing camera) ", cubetastic3000, public, 4 
2087, 34, Female, Graduate, 63, Yes, " where you are currently going (by observing maps, etc.) ", cubetastic3000, work, 5 
2087, 34, Female, Graduate, 63, Yes, " what websites you go to ", cubetastic3000, public, 4 
2087, 34, Female, Graduate, 63, Yes, " your credit card information ", cubetastic3000, friends, 5 
2087, 34, Female, Graduate, 63, Yes, " how much money you have ", cubetastic3000, friends, 5 
2171, 44, Male, Bachelors, 70, No, "vibration", smartphone, noone, 3 
2171, 44, Male, Bachelors, 70, No, "sent premium texts or calls", smartphone, noone, 5 
2171, 44, Male, Bachelors, 70, No, " when you are busy or interruptible ", cubetastic3000, public, 4 
2171, 44, Male, Bachelors, 70, No, " recorded your phone conversations ", cubetastic3000, public, 5 
2171, 44, Male, Bachelors, 70, No, " photos of you (with an inward-facing camera) at home ", cubetastic3000, appserver, 5 
2171, 44, Male, Bachelors, 70, No, " videos of people (with an outward-facing camera) at random ", cubetastic3000, public, 4 
2171, 44, Male, Bachelors, 70, No, " videos of you (with an inward-facing camera) at home ", cubetastic3000, friends, 5 
2171, 44, Male, Bachelors, 70, No, " an incriminating video of you doing something embarrassing ", cubetastic3000, appserver, 5 
277, 33, Female, Bachelors, 48, No, "connected to a bluetooth device", smartphone, noone, 1 
277, 33, Female, Bachelors, 48, No, "took screenshots while using other apps", smartphone, noone, 3 
277, 33, Female, Bachelors, 48, No, "vibration", cubetastic3000, noone, 3 
277, 33, Female, Bachelors, 48, No, " your age ", cubetastic3000, work, 4 
277, 33, Female, Bachelors, 48, No, " recorded your passing conversations ", cubetastic3000, appserver, 2 
277, 33, Female, Bachelors, 48, No, " when and how much you spend time alone ", cubetastic3000, public, 5 
277, 33, Female, Bachelors, 48, No, " how much you use your phone ", cubetastic3000, work, 2 
277, 33, Female, Bachelors, 48, No, " your bank account information ", cubetastic3000, friends, 5 
1779, 23, Female, Somecollege, 68, No, "vibration", smartphone, noone, 1 
1779, 23, Female, Somecollege, 68, No, "sent premium texts or calls", smartphone, noone, 5 
1779, 23, Female, Somecollege, 68, No, " when and how well you are sleeping ", cubetastic3000, public, 4 
1779, 23, Female, Somecollege, 68, No, " when, how much, and what you are eating ", cubetastic3000, work, 5 
1779, 23, Female, Somecollege, 68, No, " how close you are to other people you interact with ", cubetastic3000, public, 5 
1779, 23, Female, Somecollege, 68, No, " shared photos others sent to you saved on your device ", cubetastic3000, public, 5 
1779, 23, Female, Somecollege, 68, No, " photos of people (with an outward-facing camera) at random ", cubetastic3000, appserver, 2 
1779, 23, Female, Somecollege, 68, No, " an incriminating photo of you doing something embarrassing ", cubetastic3000, appserver, 5 
